id,name,rarity,image_url,detail_url,attribute,availability
23,[セクシーキャット]前川みく,Sレア,https://imas.gamedbs.jp/cgss/images/kK8U5R72YuXkT95ZgnXZkY_pOFTinLExUD40LH1fgiw.jpg,https://imas.gamedbs.jp/cgss/card/detail/23/23#card-23,Cu,
25,[ふわふわスマイル]三村かな子,Sレア,https://imas.gamedbs.jp/cgss/images/-FAdSUohU54D-Ib5PeTWIYgEL9PnnvsM8jNCBvasemQ.jpg,https://imas.gamedbs.jp/cgss/card/detail/25/25#card-25,Cu,
27,[はにかみ乙女]小日向美穂,Sレア,https://imas.gamedbs.jp/cgss/images/T2sOV_ZGyHBgF7ieUX4HFakI2okjXWB3y2KeYBp5KOU.jpg,https://imas.gamedbs.jp/cgss/card/detail/27/27#card-27,Cu,
29,[小悪魔メイド]宮本フレデリカ,Sレア,https://imas.gamedbs.jp/cgss/images/P8T0OPTRlwGQlaXAiwTgrFs_9HrMWvICvmaPjUhGHDc.jpg,https://imas.gamedbs.jp/cgss/card/detail/29/29#card-29,Cu,
31,[冬のメロディー]緒方智絵里,Sレア,https://imas.gamedbs.jp/cgss/images/PHvd6f5G7ZSo0mdlv68mjWpJx8vtphfyGqdFNSPuoWY.jpg,https://imas.gamedbs.jp/cgss/card/detail/31/31#card-31,Cu,
51,[ピュアリーガール]奥山沙織,Sレア,https://imas.gamedbs.jp/cgss/images/9_GL6c5L_AapOZg687JE1mNiKqSxHqmqFFF-db8k-pE.jpg,https://imas.gamedbs.jp/cgss/card/detail/51/51#card-51,Cu,
53,[リトルプリンセス]福山舞,Sレア,https://imas.gamedbs.jp/cgss/images/E2rINAaTj-81CBAeF4ygdWvRF6uLXU7cbE5ioqm8QC0.jpg,https://imas.gamedbs.jp/cgss/card/detail/53/53#card-53,Cu,
87,[神秘の女神]高垣楓,Sレア,https://imas.gamedbs.jp/cgss/images/Oqharc9hvuWThr6F1svw9SKgpjt52AGD49nQz6-DCSs.jpg,https://imas.gamedbs.jp/cgss/card/detail/87/87#card-87,Co,
89,[煌めきの乙女]北条加蓮,Sレア,https://imas.gamedbs.jp/cgss/images/S1UuQwLCU4X1iSkDDD9bcWIrUOWqw3IrvYYeccjDPG0.jpg,https://imas.gamedbs.jp/cgss/card/detail/89/89#card-89,Co,
91,[笑顔の女神]新田美波,Sレア,https://imas.gamedbs.jp/cgss/images/0uv_NX-oqpDmWIMiPty1BoZYyse0n9eYEvVJCGajIXY.jpg,https://imas.gamedbs.jp/cgss/card/detail/91/91#card-91,Co,
93,[新春ロッカー]多田李衣菜,Sレア,https://imas.gamedbs.jp/cgss/images/xEOE1kBsjJHlYd4pxBv3azxdvEOPfszkkqgmwK3DGlA.jpg,https://imas.gamedbs.jp/cgss/card/detail/93/93#card-93,Co,
95,[スターリービーチ]アナスタシア,Sレア,https://imas.gamedbs.jp/cgss/images/92C3CEzlyQYpDHFWN2KFdsoazUO-Ikq_7P8P3w00w5A.jpg,https://imas.gamedbs.jp/cgss/card/detail/95/95#card-95,Co,
109,[プチ・マドモアゼル]佐城雪美,Sレア,https://imas.gamedbs.jp/cgss/images/ejoJYEs_utYShVxPtcznwVxjKCJexVbdYsjXeZe7AuM.jpg,https://imas.gamedbs.jp/cgss/card/detail/109/109#card-109,Co,
111,[ブルーフロートパーティー]荒木比奈,Sレア,https://imas.gamedbs.jp/cgss/images/dQONncHNBvp5kdL5B-x9NW8kg_siIhRRXqs6V38a9jI.jpg,https://imas.gamedbs.jp/cgss/card/detail/111/111#card-111,Co,
143,[スイートバレンタイン]十時愛梨,Sレア,https://imas.gamedbs.jp/cgss/images/j5P24uKKnEB4X0-SnygYJTPIkaCxv6EtQWQoUeEA-b4.jpg,https://imas.gamedbs.jp/cgss/card/detail/143/143#card-143,Pa,
145,[しっぽもふもふ]赤城みりあ,Sレア,https://imas.gamedbs.jp/cgss/images/sLnRF62bUVAanGWHQXhtX56kCsYcxSLm-xOLpcMBG-Q.jpg,https://imas.gamedbs.jp/cgss/card/detail/145/145#card-145,Pa,
147,[カリスマギャル]城ヶ崎美嘉,Sレア,https://imas.gamedbs.jp/cgss/images/VPl1EfjNDox0CVaKSfOUzKyUacwcTcq3WVPHX53LNY4.jpg,https://imas.gamedbs.jp/cgss/card/detail/147/147#card-147,Pa,
149,[カリスマちびギャル]城ヶ崎莉嘉,Sレア,https://imas.gamedbs.jp/cgss/images/wthw9uwGYGMRjbZaRha63yySN0N-7PJbkNItIVzE85o.jpg,https://imas.gamedbs.jp/cgss/card/detail/149/149#card-149,Pa,
151,[全力チアガール]姫川友紀,Sレア,https://imas.gamedbs.jp/cgss/images/L2o3f0HAm1_lhK9lhYv0_d_0MzAIBvrB64AubFU2DGI.jpg,https://imas.gamedbs.jp/cgss/card/detail/151/151#card-151,Pa,
153,[ゆるふわ乙女]高森藍子,Sレア,https://imas.gamedbs.jp/cgss/images/uwZrnxoLlV3KF75711wHW7mR36bv8KobHjSFnospLxU.jpg,https://imas.gamedbs.jp/cgss/card/detail/153/153#card-153,Pa,プラチナガシャ(2015/9/17 12:00〜)
171,[ロッキングラヴァー]木村夏樹,Sレア,https://imas.gamedbs.jp/cgss/images/tm85XwnFPftg0DRtDyjl1FHqFcnG13YdEnSbKZRJsek.jpg,https://imas.gamedbs.jp/cgss/card/detail/171/171#card-171,Pa,
173,[サンフラワーイエロー]龍崎薫,Sレア,https://imas.gamedbs.jp/cgss/images/NkfZSGToPxqkTbYs9mwfaNshoNDvgDEoPqSfd86LznY.jpg,https://imas.gamedbs.jp/cgss/card/detail/173/173#card-173,Pa,
181,[アタシポンコツアンドロイド]小日向美穂,Sレア,https://imas.gamedbs.jp/cgss/images/FN20rjzmqPF_DOCjgE2LRyKvB3mXkNvRb9tAKuoxbBA.jpg,https://imas.gamedbs.jp/cgss/card/detail/181/181#card-181,Cu,アタシポンコツアンドロイド(2015/9/25 12:00〜10/5 20:59)ポイント報酬(10000P他)
