id,name,rarity,image_url,detail_url,attribute,availability
43,[ステージオブマジック]島村卯月,SSレア,https://imas.gamedbs.jp/cgss/images/j1nGzcjpSkIaLMCOOEvuP3sUYXM73-TaKI2t0n1wFW8.jpg,https://imas.gamedbs.jp/cgss/card/detail/43/43#card-43,Cu,
45,[ぐうたら王国]双葉杏,SSレア,https://imas.gamedbs.jp/cgss/images/QfHDmx3BUzZU0A58yj4xx3rK54uhQrzlBkxwKSKRIFU.jpg,https://imas.gamedbs.jp/cgss/card/detail/45/45#card-45,Cu,
101,[ステージオブマジック]渋谷凛,SSレア,https://imas.gamedbs.jp/cgss/images/8qTfKnGVXGw-oNXONEkel_raIQz9XjQDMKiOBqZ7tPY.jpg,https://imas.gamedbs.jp/cgss/card/detail/101/101#card-101,Co,
103,[薔薇の闇姫]神崎蘭子,SSレア,https://imas.gamedbs.jp/cgss/images/Qj-m1MTFs12zrGmEAjZ8xqp7CgDZzk9BErDqryu_iz8.jpg,https://imas.gamedbs.jp/cgss/card/detail/103/103#card-103,Co,
163,[ステージオブマジック]本田未央,SSレア,https://imas.gamedbs.jp/cgss/images/TQVzQeIyVne0qOgyXoBfgZmtM1LRp353-7ZDOZvdzME.jpg,https://imas.gamedbs.jp/cgss/card/detail/163/163#card-163,Pa,
165,[グレイトプレゼント]諸星きらり,SSレア,https://imas.gamedbs.jp/cgss/images/w7wRnWFGso4Y3dUDam_knzY3t2te03mQaDZywreBQaA.jpg,https://imas.gamedbs.jp/cgss/card/detail/165/165#card-165,Pa,
179,[キャットパーティー]前川みく,SSレア,https://imas.gamedbs.jp/cgss/images/W74EUe8Q-YASbDGPEUd2hRgBso4IUAVTkr1OYSExniY.jpg,https://imas.gamedbs.jp/cgss/card/detail/179/179#card-179,Cu,プラチナガシャ(2015/9/17 12:00〜)
185,[ホワイトウィッチ]三村かな子,SSレア,https://imas.gamedbs.jp/cgss/images/5El9kK5BJcOiss8W6QeixWRBz9Fy5lRsH2ETBgLKlEQ.jpg,https://imas.gamedbs.jp/cgss/card/detail/185/185#card-185,Cu,プラチナガシャ(2015/9/30 15:00〜10/13 14:59)
193,[パンプキンパーティー]十時愛梨,SSレア,https://imas.gamedbs.jp/cgss/images/xMGJEUW3M79YplwkjYq4ZTB8i2dZJjRXl9IeBfi6wJQ.jpg,https://imas.gamedbs.jp/cgss/card/detail/193/193#card-193,Pa,プラチナガシャ(2015/9/30 15:00〜10/13 14:59)
219,[ノーブルヴィーナス]新田美波,SSレア,https://imas.gamedbs.jp/cgss/images/dxkOoRuFdgX7Mu7jwODQF1A3F0_EVK3vpPrrVlsQxx0.jpg,https://imas.gamedbs.jp/cgss/card/detail/219/219#card-219,Co,プラチナガシャ(2015/10/19 15:00〜)
